billing_month,household_id,contract_id,utility_bill_without_system_usd,utility_bill_with_system_usd,subscription_payment_usd,vpp_credits_usd,net_customer_value_usd,overage_kwh
2025-01,H000001,C-000001,308.71,9.79,139.94,0.0,158.98,108.94
2025-02,H000001,C-000001,291.16,8.35,139.94,0.0,142.87,96.51
2025-03,H000001,C-000001,330.24,6.54,139.94,0.0,183.76,124.18
2025-04,H000001,C-000001,318.79,2.66,139.94,0.0,176.19,116.07
2025-05,H000001,C-000001,335.24,1.23,139.94,0.0,194.07,127.72
2025-06,H000001,C-000001,324.85,0.48,139.94,0.0,184.43,120.36
2025-01,H000002,C-000002,188.06,26.79,209.03,8.35,-39.41,59.17
2025-02,H000002,C-000002,183.35,23.56,209.03,3.8,-45.44,56.36
2025-03,H000002,C-000002,219.9,28.43,209.03,7.0,-10.56,78.18
2025-04,H000002,C-000002,230.05,29.85,209.03,5.51,-3.32,84.24
2025-05,H000002,C-000002,249.06,26.97,209.03,6.8,19.86,95.59
2025-06,H000002,C-000002,241.74,25.84,209.03,1.33,8.2,91.22
2025-01,H000003,C-000003,369.95,58.83,201.35,0.0,109.77,91.23
2025-02,H000003,C-000003,337.72,55.36,201.35,0.0,81.01,77.94
2025-03,H000003,C-000003,433.36,69.28,201.35,0.0,162.73,117.38
2025-04,H000003,C-000003,460.01,69.08,201.35,0.0,189.58,128.37
2025-05,H000003,C-000003,488.18,81.0,201.35,0.0,205.83,139.98
2025-06,H000003,C-000003,443.86,72.86,201.35,0.0,169.65,121.71
2025-01,H000004,C-000004,347.78,89.08,183.6,6.67,81.77,119.18
2025-02,H000004,C-000004,335.7,80.57,183.6,7.9,79.43,113.87
2025-03,H000004,C-000004,416.35,111.16,183.6,2.48,124.07,149.32
2025-04,H000004,C-000004,428.42,106.17,183.6,4.97,143.62,154.62
2025-05,H000004,C-000004,459.3,117.27,183.6,4.1,162.53,168.2
2025-06,H000004,C-000004,424.51,119.84,183.6,1.33,122.4,152.9
2025-01,H000005,C-000005,212.49,16.77,87.43,0.0,108.29,16.57
2025-02,H000005,C-000005,209.26,18.09,87.43,0.0,103.74,15.43
2025-03,H000005,C-000005,238.58,13.55,87.43,0.0,137.6,25.76
2025-04,H000005,C-000005,230.32,8.55,87.43,0.0,134.34,22.85
2025-05,H000005,C-000005,231.63,4.57,87.43,0.0,139.63,23.31
2025-06,H000005,C-000005,207.91,2.58,87.43,0.0,117.9,14.95
2025-01,H000006,C-000006,310.09,27.67,144.75,7.15,144.82,81.86
2025-02,H000006,C-000006,314.36,28.73,144.75,3.51,144.39,83.71
2025-03,H000006,C-000006,393.21,35.81,144.75,6.52,219.17,117.99
2025-04,H000006,C-000006,414.41,36.69,144.75,1.94,234.91,127.21
2025-05,H000006,C-000006,425.36,33.66,144.75,1.9,248.85,131.97
2025-06,H000006,C-000006,424.32,31.15,144.75,6.32,254.74,131.52
2025-01,H000007,C-000007,286.28,34.11,202.25,5.27,55.19,62.26
2025-02,H000007,C-000007,273.62,30.51,202.25,4.39,45.25,56.96
2025-03,H000007,C-000007,297.2,30.73,202.25,3.59,67.81,66.84
2025-04,H000007,C-000007,337.56,34.47,202.25,7.17,108.01,83.74
2025-05,H000007,C-000007,333.3,25.44,202.25,6.02,111.63,81.96
2025-06,H000007,C-000007,306.3,23.63,202.25,5.06,85.48,70.65
2025-01,H000008,C-000008,177.34,19.84,90.09,3.74,71.15,25.77
2025-02,H000008,C-000008,175.03,17.92,89.96,5.19,72.34,24.4
2025-03,H000008,C-000008,200.18,19.84,91.38,6.94,95.9,39.41
2025-04,H000008,C-000008,216.92,19.2,92.33,0.0,105.39,49.4
2025-05,H000008,C-000008,244.26,19.84,93.88,9.39,139.93,65.73
2025-06,H000008,C-000008,231.34,18.56,93.15,3.65,123.28,58.01
2025-01,H000009,C-000009,298.98,12.8,116.85,3.58,172.91,5.36
2025-02,H000009,C-000009,294.57,11.36,116.85,4.8,171.16,3.54
2025-03,H000009,C-000009,349.25,11.95,116.85,6.91,227.36,26.09
2025-04,H000009,C-000009,397.63,12.25,116.85,5.6,274.13,46.04
2025-05,H000009,C-000009,433.96,10.06,116.85,3.27,310.32,61.02
2025-06,H000009,C-000009,385.25,8.71,116.85,9.33,269.02,40.93
2025-01,H000010,C-000010,269.93,20.7,146.95,0.0,102.28,73.98
2025-02,H000010,C-000010,295.03,24.14,149.12,0.0,121.77,87.36
2025-03,H000010,C-000010,370.49,29.36,155.64,0.0,185.49,127.61
2025-04,H000010,C-000010,377.05,28.97,156.21,0.0,191.87,131.11
2025-05,H000010,C-000010,407.69,28.2,158.86,0.0,220.63,147.45
2025-06,H000010,C-000010,399.61,26.5,158.16,0.0,214.95,143.14
2025-01,H000011,C-000011,228.58,5.82,143.87,1.5,80.39,0.0
2025-02,H000011,C-000011,211.91,2.91,143.87,0.0,65.13,0.0
2025-03,H000011,C-000011,244.1,1.21,143.87,3.38,102.4,0.0
2025-04,H000011,C-000011,239.88,0.67,143.87,3.77,99.11,0.0
2025-05,H000011,C-000011,231.87,0.0,143.87,2.06,90.06,0.0
2025-06,H000011,C-000011,233.96,0.0,143.87,5.9,95.99,0.0
2025-01,H000012,C-000012,269.1,22.15,149.27,4.27,101.95,41.13
2025-02,H000012,C-000012,252.39,20.34,148.2,1.41,85.26,33.87
2025-03,H000012,C-000012,326.42,23.74,152.93,3.94,153.69,66.06
2025-04,H000012,C-000012,326.25,21.51,152.92,1.75,153.57,65.98
2025-05,H000012,C-000012,363.1,23.1,155.27,3.06,187.79,82.0
2025-06,H000012,C-000012,354.55,21.18,154.73,2.17,180.81,78.29
2025-01,H000013,C-000013,345.77,23.66,142.48,0.9,180.53,66.39
2025-02,H000013,C-000013,324.58,22.12,142.48,6.92,166.9,57.52
2025-03,H000013,C-000013,360.62,23.11,142.48,4.8,199.83,72.61
2025-04,H000013,C-000013,373.78,22.2,142.48,7.43,216.53,78.12
2025-05,H000013,C-000013,393.33,22.16,142.48,2.0,230.69,86.31
2025-06,H000013,C-000013,351.16,19.25,142.48,7.47,196.9,68.65
2025-01,H000014,C-000014,217.65,13.88,144.53,4.37,63.61,80.74
2025-02,H000014,C-000014,217.2,12.34,144.53,3.89,64.22,80.42
2025-03,H000014,C-000014,253.4,14.0,144.53,7.76,102.63,105.82
2025-04,H000014,C-000014,280.52,14.33,144.53,4.19,125.85,124.86
2025-05,H000014,C-000014,296.93,13.52,144.53,8.66,147.54,136.37
2025-06,H000014,C-000014,290.73,12.63,144.53,6.27,139.84,132.02
2025-01,H000015,C-000015,413.6,72.45,119.01,0.0,222.14,110.08
2025-02,H000015,C-000015,378.37,65.24,119.01,0.0,194.12,95.55
2025-03,H000015,C-000015,475.26,86.39,119.01,0.0,269.86,135.5
2025-04,H000015,C-000015,486.11,86.61,119.01,0.0,280.49,139.98
2025-05,H000015,C-000015,515.3,77.05,119.01,0.0,319.24,152.01
2025-06,H000015,C-000015,483.27,74.58,119.01,0.0,289.68,138.81
2025-01,H000016,C-000016,333.88,11.79,134.25,2.09,189.93,77.84
2025-02,H000016,C-000016,327.57,10.72,134.25,6.45,189.05,74.48
2025-03,H000016,C-000016,387.62,11.58,134.25,5.61,247.4,106.5
2025-04,H000016,C-000016,391.03,10.87,134.25,3.2,249.11,108.32
2025-05,H000016,C-000016,438.7,11.12,134.25,5.7,299.03,133.75
